userId,Total_Accepted_Answers,score,posts,Reputation,Age,UpVotes,DownVotes,Location,views
82354,0,0,1,8,,0,0,,1
82388,1,1,1,110,,1,0,Paris,6
82920,0,1,1,58,,1,0,,5
83090,2,4,2,33,28,1,0,,10
83324,0,0,1,1,,0,0,,1
83481,0,1,1,6,,0,0,,9
83554,0,1,1,6,,0,0,,1
84426,3,8,3,236,35,15,0,"Melbourne, Victoria, Australia",9
86596,2,6,2,70,26,3,0,"aaaaaaaaaaa, Gatteo A Mare, Prowincja Forlì-Cesena, Włochy",17
86732,1,0,1,3,,0,0,,0
87098,3,5,4,61,26,22,0,Paris,36
87200,0,0,1,101,,0,0,,0
87268,1,1,1,8,,0,0,,2
87527,0,2,1,11,,0,0,,0
88672,1,5,1,84,,3,0,,6
89399,1,2,1,113,37,4,0,NYC,1
89629,0,3,1,16,,1,0,,0
89906,1,4,1,355,27,80,6,India,42
90131,0,4,1,21,,0,0,,0
90174,0,1,1,14,,0,0,,2
90331,1,3,1,28,,0,0,,2
90433,0,1,1,6,,0,0,,1
90574,0,2,1,31,,1,0,,5
90799,0,2,1,11,,0,0,,2
90935,0,2,1,11,,0,0,,0
90944,0,0,1,1,,0,0,,4
90978,0,0,1,1,,0,0,,0
91978,1,1,1,123,,3,0,,0
92339,0,5,1,29,,0,0,,2
92841,0,3,1,16,,0,0,,1
93518,0,0,1,6,,0,0,,1
94820,1,1,1,8,,0,0,,3
96190,0,3,1,23,,0,0,,10
96381,1,0,1,16,,2,0,,10
97351,1,4,1,26,,6,0,,1
97594,2,1,4,110,,7,0,"Zurich, Switzerland",34
98262,0,3,1,16,,0,0,,1
98964,0,1,1,11,,0,0,,1
99525,0,3,1,16,,3,0,,2
99598,1,2,1,13,,0,0,Belgium,5
101431,2,1,3,40,,4,0,,5
102108,0,2,1,11,,0,0,,0
102767,0,-1,1,1,,0,0,,0
102869,1,10,1,156,,4,0,,5
103478,0,0,1,1,,0,0,,0
105184,0,0,1,1,,0,0,,0
107047,1,1,1,32,,4,0,,11
108183,1,0,1,23,,3,0,,0
108383,1,3,1,25,,4,0,"Geneva, Switzerland",5
108524,0,0,1,101,,0,0,,0
108592,0,0,2,1,,0,0,,11
108919,0,0,1,13,,0,0,,4
109226,1,0,1,3,,0,0,,0
110128,1,5,1,63,33,80,0,"Cambridge, United Kingdom",3
110353,1,-3,1,35,,1,0,,1
110587,0,0,1,1,,0,0,,0
110796,0,1,1,6,,0,0,,0
111932,0,0,1,6,,0,0,,1
112059,1,1,1,8,,0,0,,2
114272,0,1,1,6,,0,0,,0
115169,0,0,1,1,,0,0,/home/andres,1
115174,0,2,1,16,,0,0,,1
115412,1,1,1,8,,0,0,,0
116378,0,1,1,6,,0,0,,1
116612,0,0,1,1,,0,0,,2
117182,1,0,1,3,26,0,0,Finland,0
117684,0,1,1,6,,0,0,,0
119722,0,2,1,21,,0,0,,3
119790,1,3,2,18,,3,0,,8
119956,0,0,1,6,,0,0,,1
120288,1,0,1,188,,12,0,,2
121019,1,3,1,18,,1,0,,6
121249,1,4,1,23,,0,0,,5
121619,0,1,1,6,,0,0,,0
121926,0,2,1,113,,1,0,,6
122628,1,0,1,3,,0,0,,0
123066,2,4,2,25,,8,0,,0
123389,0,2,1,11,,0,0,,0
123798,0,4,1,21,,0,0,,4
124768,0,1,1,6,,0,0,,0
126831,0,0,1,1,,0,0,,0
128312,0,0,1,6,,0,0,,2
128805,1,3,1,23,,0,0,,1
129116,1,1,3,11,,0,0,,4
130341,0,0,1,1,,0,0,,5
131945,0,0,1,1,,0,0,,0
132826,1,2,1,13,,0,0,,0
132856,1,1,1,8,,0,0,,4
135991,0,1,1,6,,0,0,,0
136829,0,0,1,1,,0,0,,0
136868,0,2,1,11,,0,0,,1
137638,0,1,1,6,,0,0,,6
139910,1,0,1,103,,0,0,,2
